Criteria,Exp 1,Exp 2,Exp 3,Exp 4,Exp 5,Exp 6,Exp 7,Exp 8
Experimental approach,0.13,0.083,0.067,0.048,0.143,0.063,0.176,0.091
Analysis approach,0.087,0.083,0.067,0.095,0.095,0.125,0.059,0.091
Adaptation means,0.087,0.042,0.067,0.048,0.095,0.063,0.059,0.091
Sample size,0.13,0.125,0.133,0.143,0.095,0.063,0.118,0.136
Fitness measurement,0.13,0.125,0.2,0.143,0.143,0.188,0.176,0.091
Association to host,0.13,0.125,0.133,0.095,0.095,0.063,0.118,0.136
Functional response,0.087,0.125,0.133,0.143,0.048,0.188,0.059,0.136
Molecular technique,0.043,0.083,0.067,0.095,0.095,0.063,0.059,0.045
Compositional variability resolution,0.13,0.083,0.067,0.095,0.095,0.125,0.059,0.136
Data availability,0.043,0.125,0.067,0.095,0.095,0.063,0.118,0.045
